Title,Title_URL,Image,arow,asizemini,aoffscreen,arow2,acolumn,Field1,Text,Text1,Field2
"Samsung Galaxy Book6 Enterprise Edition 16.0"", Intel® Core™ Ultra 7 355",https://www.amazon.com/sspa/click?ie=UTF8&spc=MToxMDM2NjU2NzcwMzIwNDU2OjE3ODk4MTk4ODc6c3BfYXRmX25leHQ6MzAxNDgzNDI4NDY3MjAyOjowOjo&url=%2FSamsung-Galaxy-Enterprise-Intel%25C2%25AE-CoreTM%2Fdp%2FB0H1D8Y6K6%2Fref%3Dsr_1_18_sspa%3Fcrid%3D3LC9VL11Q1Y6Z%26dib%3DeyJ2IjoiMSJ9.ugoRDgk6CPUHAO-vuB2wI78pO390UDdb6RIU-aabDt5oU4otZYiGUnN6i_3bTOJjtcS38F6V6MAp5orniGxaedyNOGAYlDK7d99c9ucqP2kacaNCFHiHGfY9UEeOjwzul9iF8cSC9UucU8Gs5GLNy7FQ0V8OzIpdhNU--RElP62tW8GL2hHkxWv1CovRPUE2ikPC0MLd9pFvg58mnuxLOGLRhpXKRp64sVad5ICo7pE.-xmc_AxVrBglQX_RvSgqSLCabFYrz8FXomxgbbeGO4o%26dib_tag%3Dse%26keywords%3Dgaming%2Blaptops%26qid%3D1789819887%26sprefix%3D%252Caps%252C392%26sr%3D8-18-spons%26xpid%3DMMcXVFo9VX50C%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,https://m.media-amazon.com/images/I/61-I9ls9TuL._AC_UY218_.jpg,,,2 capacities,"PKR 19,244.26 delivery Tue, Sep 29","Tue, Sep 29",,,,
"msi Cyborg 17 17.3"" FHD 144Hz Gaming Laptop: Intel Core 7-240H, NVIDIA Geforce RTX 5060, 16GB DDR5, 1TB NVMe SSD, Type C, Wi-Fi 6E, Win 11 Home: Translucent Black B2RWFKG-074US",https://www.amazon.com/msi-Cyborg-144Hz-Gaming-Laptop/dp/B0FSGJZDNT/ref=sr_1_19?crid=3LC9VL11Q1Y6Z&dib=eyJ2IjoiMSJ9.ugoRDgk6CPUHAO-vuB2wI78pO390UDdb6RIU-aabDt5oU4otZYiGUnN6i_3bTOJjtcS38F6V6MAp5orniGxaedyNOGAYlDK7d99c9ucqP2kacaNCFHiHGfY9UEeOjwzul9iF8cSC9UucU8Gs5GLNy7FQ0V8OzIpdhNU--RElP62tW8GL2hHkxWv1CovRPUE2ikPC0MLd9pFvg58mnuxLOGLRhpXKRp64sVad5ICo7pE.-xmc_AxVrBglQX_RvSgqSLCabFYrz8FXomxgbbeGO4o&dib_tag=se&keywords=gaming+laptops&qid=1789819887&sprefix=%2Caps%2C392&sr=8-19&xpid=MMcXVFo9VX50C,https://m.media-amazon.com/images/I/71eJzm2Rj7L._AC_UY218_.jpg,4.3,(41),2 capacities,"PKR 24,197.38 delivery Tue, Sep 29","Tue, Sep 29",,,,"msi
Cyborg 17 B2RWFKG-074US
17.3 inches
Black
1 TB
Intel Core 7
16 GB
Windows 11 Home
Backlit Keyboard
Dedicated"
"ASUS TUF Gaming A16 Laptop: AMD Ryzen 7 7445HS, 16"" Full HD+ 145Hz Display, NVIDIA GeForce RTX 4050, 16GB DDR5 RAM, 512GB SSD, Backlit Keyboard, Windows 11",https://www.amazon.com/ASUS-TUF-Gaming-A16-Laptop/dp/B0FV4B883Y/ref=sr_1_20?crid=3LC9VL11Q1Y6Z&dib=eyJ2IjoiMSJ9.ugoRDgk6CPUHAO-vuB2wI78pO390UDdb6RIU-aabDt5oU4otZYiGUnN6i_3bTOJjtcS38F6V6MAp5orniGxaedyNOGAYlDK7d99c9ucqP2kacaNCFHiHGfY9UEeOjwzul9iF8cSC9UucU8Gs5GLNy7FQ0V8OzIpdhNU--RElP62tW8GL2hHkxWv1CovRPUE2ikPC0MLd9pFvg58mnuxLOGLRhpXKRp64sVad5ICo7pE.-xmc_AxVrBglQX_RvSgqSLCabFYrz8FXomxgbbeGO4o&dib_tag=se&keywords=gaming+laptops&qid=1789819887&sprefix=%2Caps%2C392&sr=8-20&xpid=MMcXVFo9VX50C,https://m.media-amazon.com/images/I/61WVG2Fd76L._AC_UY218_.jpg,4.5,(170),,,,,,,"ASUS
TUF Gaming A16
16 inches
Gray
512 GB
AMD Ryzen 7
16 GB
Windows 11 Home
Anti Glare Coating, HD Audio, Spill Resistant, TrackPoint
Dedicated"
"Light Gaming Laptop, ΑΜD Ryzen 7430U (Up to 4.3GHz), 16GB RAM 512GB SSD",https://www.amazon.com/Light-Gaming-Laptop-Ryzen-4-3GHz/dp/B0H6B6NH9Y/ref=sr_1_21?crid=3LC9VL11Q1Y6Z&dib=eyJ2IjoiMSJ9.ugoRDgk6CPUHAO-vuB2wI78pO390UDdb6RIU-aabDt5oU4otZYiGUnN6i_3bTOJjtcS38F6V6MAp5orniGxaedyNOGAYlDK7d99c9ucqP2kacaNCFHiHGfY9UEeOjwzul9iF8cSC9UucU8Gs5GLNy7FQ0V8OzIpdhNU--RElP62tW8GL2hHkxWv1CovRPUE2ikPC0MLd9pFvg58mnuxLOGLRhpXKRp64sVad5ICo7pE.-xmc_AxVrBglQX_RvSgqSLCabFYrz8FXomxgbbeGO4o&dib_tag=se&keywords=gaming+laptops&qid=1789819887&sprefix=%2Caps%2C392&sr=8-21&xpid=MMcXVFo9VX50C,https://m.media-amazon.com/images/I/71D4xomw-wL._AC_UY218_.jpg,4.6,(16),"PKR 163,524.93","PKR 18,554.09 delivery Tue, Sep 29","Tue, Sep 29","PKR268,856.98",,,"KAIGERR
LX15PRO
15.6 inches
Nice Medium Gray
512 GB
Ryzen 5
16 GB
Windows 11 Pro
laptop, laptop computer, light gaming laptop
Integrated"
,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToxMzE5NjY3MjExMDI2NjY0OjE3ODk4MTk4ODg6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMTUzMzk0OTYyOTkwMjo6MDo6&url=%2FGaming-Laptop-Battery-Ryzen-4-3GHZ%2Fdp%2FB0HF3J55CY%2Fref%3Dsxin_12_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.e340328d-0880-4832-9811-a14f6080b131%253Aamzn1.sym.e340328d-0880-4832-9811-a14f6080b131%26crid%3D3LC9VL11Q1Y6Z%26cv_ct_cx%3Dgaming%2Blaptops%26keywords%3Dgaming%2Blaptops%26pd_rd_i%3DB0HF3J55CY%26pd_rd_r%3D8cb391e8-f825-4507-a39a-e8fb2ba336ff%26pd_rd_w%3DJRqsM%26pd_rd_wg%3DZG9UM%26pf_rd_p%3De340328d-0880-4832-9811-a14f6080b131%26pf_rd_r%3DWWP4F11RP569E3J953MC%26qid%3D1789819887%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3D%252Caps%252C392%26sr%3D1-17-f853d353-bf33-45e7-b5c2-2cb2b31abc9b-spons%26xpid%3DMMcXVFo9VX50C%26aref%3DRoCnsOeIOV%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1&aref=RoCnsOeIOV,,4.8,(18),"PKR 182,655.55","PKR 21,996.61 delivery Tue, Sep 29","Tue, Sep 29","PKR443,477.23",,,
,,,,,,,,,,,
"HP Omen 16 16"" AMD Ryzen AI 7 350 RTX 5060 Gaming Laptop, 32GB DDR5 1TB SSD",https://www.amazon.com/HP-Omen-Ryzen-Gaming-Laptop/dp/B0H83L938H/ref=sr_1_22?crid=3LC9VL11Q1Y6Z&dib=eyJ2IjoiMSJ9.ugoRDgk6CPUHAO-vuB2wI78pO390UDdb6RIU-aabDt5oU4otZYiGUnN6i_3bTOJjtcS38F6V6MAp5orniGxaedyNOGAYlDK7d99c9ucqP2kacaNCFHiHGfY9UEeOjwzul9iF8cSC9UucU8Gs5GLNy7FQ0V8OzIpdhNU--RElP62tW8GL2hHkxWv1CovRPUE2ikPC0MLd9pFvg58mnuxLOGLRhpXKRp64sVad5ICo7pE.-xmc_AxVrBglQX_RvSgqSLCabFYrz8FXomxgbbeGO4o&dib_tag=se&keywords=gaming+laptops&qid=1789819887&sprefix=%2Caps%2C392&sr=8-22&xpid=MMcXVFo9VX50C,https://m.media-amazon.com/images/I/71051XlNymL._AC_UY218_.jpg,4.5,(14),,,,,,,"HP
TPN-Q305
16 inches
Black
1 TB
AMD R Series
32 GB
Windows 11 Home
Backlit Keyboard, Numeric Keypad
Dedicated"
"msi Vector A18 HX 18” 240Hz QHD+ Gaming Laptop: AMD Ryzen 9-9955HX, NVIDIA Geforce RTX 5080, 32GB DDR5, 1TB NVMe SSD, Type C, Wi-Fi 7, Win 11 Home: Cosmo Gray A9WIG-065US",https://www.amazon.com/MSI-Vector-240Hz-Gaming-Laptop/dp/B0DVDGRP1X/ref=sr_1_23?crid=3LC9VL11Q1Y6Z&dib=eyJ2IjoiMSJ9.ugoRDgk6CPUHAO-vuB2wI78pO390UDdb6RIU-aabDt5oU4otZYiGUnN6i_3bTOJjtcS38F6V6MAp5orniGxaedyNOGAYlDK7d99c9ucqP2kacaNCFHiHGfY9UEeOjwzul9iF8cSC9UucU8Gs5GLNy7FQ0V8OzIpdhNU--RElP62tW8GL2hHkxWv1CovRPUE2ikPC0MLd9pFvg58mnuxLOGLRhpXKRp64sVad5ICo7pE.-xmc_AxVrBglQX_RvSgqSLCabFYrz8FXomxgbbeGO4o&dib_tag=se&keywords=gaming+laptops&qid=1789819887&sprefix=%2Caps%2C392&sr=8-23&xpid=MMcXVFo9VX50C,https://m.media-amazon.com/images/I/71wEDLLi83L._AC_UY218_.jpg,3.8,(27),"PKR 748,369.73","PKR 31,830.78 delivery",,,,,"msi
Vector A18 HX A9WIG-065US
18 inches
Gray
1 TB
Ryzen 9
32 GB
Windows 11 Home
Backlit Keyboard, Fingerprint Reader
RTX 5080"
"msi Thin 15 15.6” 144Hz FHD Gaming Laptop: Intel Core i7-13620H, NVIDIA Geforce RTX 4050, 16GB DDR4, 512GB NVMe SSD, WiFi 6E, Win 11: Black B13VE-2678US",https://www.amazon.com/MSI-Thin-144Hz-Gaming-Laptop/dp/B0DJB25PF7/ref=sr_1_24?crid=3LC9VL11Q1Y6Z&dib=eyJ2IjoiMSJ9.ugoRDgk6CPUHAO-vuB2wI78pO390UDdb6RIU-aabDt5oU4otZYiGUnN6i_3bTOJjtcS38F6V6MAp5orniGxaedyNOGAYlDK7d99c9ucqP2kacaNCFHiHGfY9UEeOjwzul9iF8cSC9UucU8Gs5GLNy7FQ0V8OzIpdhNU--RElP62tW8GL2hHkxWv1CovRPUE2ikPC0MLd9pFvg58mnuxLOGLRhpXKRp64sVad5ICo7pE.-xmc_AxVrBglQX_RvSgqSLCabFYrz8FXomxgbbeGO4o&dib_tag=se&keywords=gaming+laptops&qid=1789819887&sprefix=%2Caps%2C392&sr=8-24&xpid=MMcXVFo9VX50C,https://m.media-amazon.com/images/I/71MfZpnDWRL._AC_UY218_.jpg,4.4,(182),4 capacities,,,,,,"msi
B13VE-2678US
15.6 inches
Black
512 GB
Core i7
16 GB
Windows 11 Home
Backlit Keyboard, HD Audio
RTX 4050"
"NIMO 17.3"" Gaming Laptop 32GB DDR5 RAM 1TB SSD, AMD Ryzen 5 6600H, Win 11",https://www.amazon.com/NIMO-Gaming-Laptop-Ryzen-6600H/dp/B0HFZJB8FG/ref=sr_1_25?crid=3LC9VL11Q1Y6Z&dib=eyJ2IjoiMSJ9.ugoRDgk6CPUHAO-vuB2wI78pO390UDdb6RIU-aabDt5oU4otZYiGUnN6i_3bTOJjtcS38F6V6MAp5orniGxaedyNOGAYlDK7d99c9ucqP2kacaNCFHiHGfY9UEeOjwzul9iF8cSC9UucU8Gs5GLNy7FQ0V8OzIpdhNU--RElP62tW8GL2hHkxWv1CovRPUE2ikPC0MLd9pFvg58mnuxLOGLRhpXKRp64sVad5ICo7pE.-xmc_AxVrBglQX_RvSgqSLCabFYrz8FXomxgbbeGO4o&dib_tag=se&keywords=gaming+laptops&qid=1789819887&sprefix=%2Caps%2C392&sr=8-25&xpid=MMcXVFo9VX50C,https://m.media-amazon.com/images/I/71VNQpq6qoL._AC_UY218_.jpg,4.6,(22),,,,,,,"NIMO
NIMO N173
17.3 inches
Blue
1024 GB
Ryzen 5
32 GB
Windows 11
Backlit Keyboard, Fingerprint Reader, HD Audio, Numeric Keypad
Integrated"
"NIMO 17.3"" Gaming Laptop, AMD Ryzen 9 8945HS (8C/16T, Up to 5.2GHz), 32GB DDR5 RAM 1TB SSD, Radeon 780M Graphics, 100W PD Fast Charge, Fingerprint, AI-Powered Business & Gaming PC, Win 11",https://www.amazon.com/NIMO-Graphics-Fingerprint-AI-Powered-Business/dp/B0H339CXZ2/ref=sr_1_26?crid=3LC9VL11Q1Y6Z&dib=eyJ2IjoiMSJ9.ugoRDgk6CPUHAO-vuB2wI78pO390UDdb6RIU-aabDt5oU4otZYiGUnN6i_3bTOJjtcS38F6V6MAp5orniGxaedyNOGAYlDK7d99c9ucqP2kacaNCFHiHGfY9UEeOjwzul9iF8cSC9UucU8Gs5GLNy7FQ0V8OzIpdhNU--RElP62tW8GL2hHkxWv1CovRPUE2ikPC0MLd9pFvg58mnuxLOGLRhpXKRp64sVad5ICo7pE.-xmc_AxVrBglQX_RvSgqSLCabFYrz8FXomxgbbeGO4o&dib_tag=se&keywords=gaming+laptops&qid=1789819887&sprefix=%2Caps%2C392&sr=8-26&xpid=MMcXVFo9VX50C,https://m.media-amazon.com/images/I/71-4KXW666L._AC_UY218_.jpg,4.7,(23),,,,,,,"NIMO
NIMO N175
17.3 inches
Blue
1024 GB
Ryzen 9
32 GB
Windows 11
Backlit Keyboard, Fingerprint Reader, HD Audio, Numeric Keypad
Integrated"
"18.5 Inch Gaming Laptop with 7000 mAh Battery,AMD Ryzen 7430U UP to 4.3GHZ",https://www.amazon.com/sspa/click?ie=UTF8&spc=MToxMDM2NjU2NzcwMzIwNDU2OjE3ODk4MTk4ODc6c3BfbXRmOjMwMTUzMzk0OTYyOTkwMjo6MDo6&url=%2FGaming-Laptop-Battery-Ryzen-4-3GHZ%2Fdp%2FB0HF3J55CY%2Fref%3Dsr_1_27_sspa%3Fcrid%3D3LC9VL11Q1Y6Z%26dib%3DeyJ2IjoiMSJ9.ugoRDgk6CPUHAO-vuB2wI78pO390UDdb6RIU-aabDt5oU4otZYiGUnN6i_3bTOJjtcS38F6V6MAp5orniGxaedyNOGAYlDK7d99c9ucqP2kacaNCFHiHGfY9UEeOjwzul9iF8cSC9UucU8Gs5GLNy7FQ0V8OzIpdhNU--RElP62tW8GL2hHkxWv1CovRPUE2ikPC0MLd9pFvg58mnuxLOGLRhpXKRp64sVad5ICo7pE.-xmc_AxVrBglQX_RvSgqSLCabFYrz8FXomxgbbeGO4o%26dib_tag%3Dse%26keywords%3Dgaming%2Blaptops%26qid%3D1789819887%26sprefix%3D%252Caps%252C392%26sr%3D8-27-spons%26xpid%3DMMcXVFo9VX50C%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,https://m.media-amazon.com/images/I/715V4VP-nfL._AC_UY218_.jpg,4.8,(18),"PKR 182,655.55","PKR 21,996.61 delivery Tue, Sep 29","Tue, Sep 29","PKR443,477.23",,,
"dynabook Tecra A40-M 14"" WUXGA Business Laptop, Intel Core Ultra 7 155U, 32GB DDR5, 1TB PCIe SSD, Windows 11 Pro, Wi-Fi 6E, Thunderbolt 4, 5MP AI Webcam, Fingerprint",https://www.amazon.com/sspa/click?ie=UTF8&spc=MToxMDM2NjU2NzcwMzIwNDU2OjE3ODk4MTk4ODc6c3BfbXRmOjMwMTQ4NjQyMTcwNTkwMjo6MDo6&url=%2Fdynabook-A40-M-Business-Thunderbolt-Fingerprint%2Fdp%2FB0GT8T34V8%2Fref%3Dsr_1_28_sspa%3Fcrid%3D3LC9VL11Q1Y6Z%26dib%3DeyJ2IjoiMSJ9.ugoRDgk6CPUHAO-vuB2wI78pO390UDdb6RIU-aabDt5oU4otZYiGUnN6i_3bTOJjtcS38F6V6MAp5orniGxaedyNOGAYlDK7d99c9ucqP2kacaNCFHiHGfY9UEeOjwzul9iF8cSC9UucU8Gs5GLNy7FQ0V8OzIpdhNU--RElP62tW8GL2hHkxWv1CovRPUE2ikPC0MLd9pFvg58mnuxLOGLRhpXKRp64sVad5ICo7pE.-xmc_AxVrBglQX_RvSgqSLCabFYrz8FXomxgbbeGO4o%26dib_tag%3Dse%26keywords%3Dgaming%2Blaptops%26qid%3D1789819887%26sprefix%3D%252Caps%252C392%26sr%3D8-28-spons%26xpid%3DMMcXVFo9VX50C%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,https://m.media-amazon.com/images/I/61Qz-lvLf0L._AC_UY218_.jpg,,,"PKR 493,094.32","PKR 21,115.19 delivery Tue, Sep 29","Tue, Sep 29",,,,
"Gaming Laptop with AMD Ryzen 7 H255 (up to 4.9GHz),24GB DDR5 512GB NVMe SSD",https://www.amazon.com/Gaming-Laptop-Ryzen-4-9GHz-512GB/dp/B0H4GDCQJF/ref=sr_1_29?crid=3LC9VL11Q1Y6Z&dib=eyJ2IjoiMSJ9.ugoRDgk6CPUHAO-vuB2wI78pO390UDdb6RIU-aabDt5oU4otZYiGUnN6i_3bTOJjtcS38F6V6MAp5orniGxaedyNOGAYlDK7d99c9ucqP2kacaNCFHiHGfY9UEeOjwzul9iF8cSC9UucU8Gs5GLNy7FQ0V8OzIpdhNU--RElP62tW8GL2hHkxWv1CovRPUE2ikPC0MLd9pFvg58mnuxLOGLRhpXKRp64sVad5ICo7pE.-xmc_AxVrBglQX_RvSgqSLCabFYrz8FXomxgbbeGO4o&dib_tag=se&keywords=gaming+laptops&qid=1789819887&sprefix=%2Caps%2C392&sr=8-29&xpid=MMcXVFo9VX50C,https://m.media-amazon.com/images/I/71jdw6czCML._AC_UY218_.jpg,4.4,(41),"PKR 191,247.98","PKR 19,382.85 delivery",,"PKR221,737.23",,,"MALLRACE
S16
16 inches
Lead Gray
512 GB
AMD Ryzen 7
24 GB
Windows 11 Pro
24GB DDR5 512GB SSD, AMD Radeon 780M, AMD Ryzen7 H255 4.9GHz, Backlit Keyboard, HDMI 2.0
Integrated"
"Alienware 16 Aurora Gaming Laptop, RTX 5050, Intel Core 7 240H",https://www.amazon.com/Alienware-Aurora-Gaming-Laptop-Intel/dp/B0BXFKXG6N/ref=sr_1_30?crid=3LC9VL11Q1Y6Z&dib=eyJ2IjoiMSJ9.ugoRDgk6CPUHAO-vuB2wI78pO390UDdb6RIU-aabDt5oU4otZYiGUnN6i_3bTOJjtcS38F6V6MAp5orniGxaedyNOGAYlDK7d99c9ucqP2kacaNCFHiHGfY9UEeOjwzul9iF8cSC9UucU8Gs5GLNy7FQ0V8OzIpdhNU--RElP62tW8GL2hHkxWv1CovRPUE2ikPC0MLd9pFvg58mnuxLOGLRhpXKRp64sVad5ICo7pE.-xmc_AxVrBglQX_RvSgqSLCabFYrz8FXomxgbbeGO4o&dib_tag=se&keywords=gaming+laptops&qid=1789819887&sprefix=%2Caps%2C392&sr=8-30&xpid=MMcXVFo9VX50C,https://m.media-amazon.com/images/I/71oM7NX7+yL._AC_UY218_.jpg,4.1,(300),3 sizes,,,,,,"Alienware
Windows 11 Home
Intel Core 7
1.8 GHz
24
Dedicated
NVIDIA GeForce RTX 5050
16 GB
Entertainment, Gaming, Student
16 inches"
"NIMO 17.3"" Gaming Laptop, AMD Ryzen 9 8945HS (8C/16T, Up to 5.2GHz), 32GB DDR5 RAM 1TB SSD, Radeon 780M Graphics, 100W PD Fast Charge, Fingerprint, AI-Powered Business & Gaming PC, Win 11",https://www.amazon.com/NIMO-Graphics-Fingerprint-AI-Powered-Business/dp/B0H33F1GWV/ref=sr_1_32?crid=3LC9VL11Q1Y6Z&dib=eyJ2IjoiMSJ9.ugoRDgk6CPUHAO-vuB2wI78pO390UDdb6RIU-aabDt5oU4otZYiGUnN6i_3bTOJjtcS38F6V6MAp5orniGxaedyNOGAYlDK7d99c9ucqP2kacaNCFHiHGfY9UEeOjwzul9iF8cSC9UucU8Gs5GLNy7FQ0V8OzIpdhNU--RElP62tW8GL2hHkxWv1CovRPUE2ikPC0MLd9pFvg58mnuxLOGLRhpXKRp64sVad5ICo7pE.-xmc_AxVrBglQX_RvSgqSLCabFYrz8FXomxgbbeGO4o&dib_tag=se&keywords=gaming+laptops&qid=1789819887&sprefix=%2Caps%2C392&sr=8-32&xpid=MMcXVFo9VX50C,https://m.media-amazon.com/images/I/71HicjuwPdL._AC_UY218_.jpg,4.7,(23),,,,,,,"NIMO
NIMO N175
17.3 inches
Black
1024 GB
Ryzen 9
32 GB
Windows 11
Backlit Keyboard, Fingerprint Reader, HD Audio, Numeric Keypad
Integrated"
"Gaming Laptop 2026,Office & Windows 11 Pro Laptops with 16GB RAM 512GB SSD",https://www.amazon.com/Gaming-Laptop-Office-Windows-Laptops/dp/B0H947WPTC/ref=sr_1_33?crid=3LC9VL11Q1Y6Z&dib=eyJ2IjoiMSJ9.ugoRDgk6CPUHAO-vuB2wI78pO390UDdb6RIU-aabDt5oU4otZYiGUnN6i_3bTOJjtcS38F6V6MAp5orniGxaedyNOGAYlDK7d99c9ucqP2kacaNCFHiHGfY9UEeOjwzul9iF8cSC9UucU8Gs5GLNy7FQ0V8OzIpdhNU--RElP62tW8GL2hHkxWv1CovRPUE2ikPC0MLd9pFvg58mnuxLOGLRhpXKRp64sVad5ICo7pE.-xmc_AxVrBglQX_RvSgqSLCabFYrz8FXomxgbbeGO4o&dib_tag=se&keywords=gaming+laptops&qid=1789819887&sprefix=%2Caps%2C392&sr=8-33&xpid=MMcXVFo9VX50C,https://m.media-amazon.com/images/I/711XuaEUR5L._AC_UY218_.jpg,3.8,(56),"PKR 110,867.23","PKR 14,748.48 delivery Tue, Sep 29","Tue, Sep 29","PKR124,725.98",,,"CHIFUYOU
Intel Core i7-7600U 16GB RAM+1TB SSD
15.6 inches
Gray
512 GB
Core i7
16 GB
Windows 11 Pro
Anti Glare Coating, Backlit Keyboard, HD Audio, Lightweight, Numeric Keypad
Integrated"
"Lenovo IdeaPad Pro 5-2025 - 16"" OLED 2880 x 1800 120Hz Display - 16GB Memory - 1 TB Storage - Ryzen AI 7 350 - NVIDIA GeForce RTX5050 - Windows 11 Home - Luna Grey",https://www.amazon.com/Lenovo-IdeaPad-Pro-5-2025-Display/dp/B0DTBFNLCJ/ref=sr_1_34?crid=3LC9VL11Q1Y6Z&dib=eyJ2IjoiMSJ9.ugoRDgk6CPUHAO-vuB2wI78pO390UDdb6RIU-aabDt5oU4otZYiGUnN6i_3bTOJjtcS38F6V6MAp5orniGxaedyNOGAYlDK7d99c9ucqP2kacaNCFHiHGfY9UEeOjwzul9iF8cSC9UucU8Gs5GLNy7FQ0V8OzIpdhNU--RElP62tW8GL2hHkxWv1CovRPUE2ikPC0MLd9pFvg58mnuxLOGLRhpXKRp64sVad5ICo7pE.-xmc_AxVrBglQX_RvSgqSLCabFYrz8FXomxgbbeGO4o&dib_tag=se&keywords=gaming+laptops&qid=1789819887&sprefix=%2Caps%2C392&sr=8-34&xpid=MMcXVFo9VX50C,https://m.media-amazon.com/images/I/71kyi296+RL._AC_UY218_.jpg,3.6,(30),"PKR 304,615.32","PKR 27,448.64 delivery Tue, Sep 29","Tue, Sep 29",,,,"Lenovo
IdeaPad Pro 5
16 inches
Luna Grey
1 TB
Ryzen 7
16 GB
Windows 11 Home
OLED 120Hz Display
Dedicated"
"Lenovo Legion 5i – Gaming Laptop - Intel® Core™ i7-14700HX - 15"" 2.5K WQXGA PureSight OLED Display–165Hz Refresh Rate–NVIDIA® GeForce RTX™ 5070 – 16 GB Memory – 1 TB Storage – 3 Months of PC GamePass",https://www.amazon.com/Lenovo-Legion-i7-14700HX-Display-165Hz-Rate-NVIDIA%C2%AE/dp/B0F6NRYPPG/ref=sr_1_35?crid=3LC9VL11Q1Y6Z&dib=eyJ2IjoiMSJ9.ugoRDgk6CPUHAO-vuB2wI78pO390UDdb6RIU-aabDt5oU4otZYiGUnN6i_3bTOJjtcS38F6V6MAp5orniGxaedyNOGAYlDK7d99c9ucqP2kacaNCFHiHGfY9UEeOjwzul9iF8cSC9UucU8Gs5GLNy7FQ0V8OzIpdhNU--RElP62tW8GL2hHkxWv1CovRPUE2ikPC0MLd9pFvg58mnuxLOGLRhpXKRp64sVad5ICo7pE.-xmc_AxVrBglQX_RvSgqSLCabFYrz8FXomxgbbeGO4o&dib_tag=se&keywords=gaming+laptops&qid=1789819887&sprefix=%2Caps%2C392&sr=8-35&xpid=MMcXVFo9VX50C,https://m.media-amazon.com/images/I/81fcgC6vlsL._AC_UY218_.jpg,4.3,(97),"PKR 527,821.58","PKR 21,112.42 delivery Tue, Sep 29","Tue, Sep 29",,,,"Lenovo
Legion 5i
15.1 inches
Eclipse Black
1 TB
Core i7
16 GB
Windows 11 Home
Backlit Keyboard, HD Audio, Wifi
Dedicated"
"msi Katana 15 HX 15.6” 165Hz QHD+ Gaming Laptop: Intel Core i9-14900HX, NVIDIA Geforce RTX 5070, 32GB DDR5, 1TB NVMe SSD, RGB Keyboard, Win 11 Home: Black B14WGK-016US",https://www.amazon.com/Katana-15-6-165Hz-Gaming-Laptop/dp/B0DZFVBQLK/ref=sr_1_36?crid=3LC9VL11Q1Y6Z&dib=eyJ2IjoiMSJ9.ugoRDgk6CPUHAO-vuB2wI78pO390UDdb6RIU-aabDt5oU4otZYiGUnN6i_3bTOJjtcS38F6V6MAp5orniGxaedyNOGAYlDK7d99c9ucqP2kacaNCFHiHGfY9UEeOjwzul9iF8cSC9UucU8Gs5GLNy7FQ0V8OzIpdhNU--RElP62tW8GL2hHkxWv1CovRPUE2ikPC0MLd9pFvg58mnuxLOGLRhpXKRp64sVad5ICo7pE.-xmc_AxVrBglQX_RvSgqSLCabFYrz8FXomxgbbeGO4o&dib_tag=se&keywords=gaming+laptops&qid=1789819887&sprefix=%2Caps%2C392&sr=8-36&xpid=MMcXVFo9VX50C,https://m.media-amazon.com/images/I/71TvKdAmIjL._AC_UY218_.jpg,4.0,(348),"PKR 629,251.00","PKR 24,225.10 delivery Tue, Sep 29","Tue, Sep 29",,,,"msi
Katana 15 HX B14WGK-016US
15.6 inches
Black
1 TB
Core i9
32 GB
Windows 11 Home
Backlit Keyboard, HD Audio
RTX 5070"
